ID,Language1,Language2,Age,Nationality,Coordinates,Gender
S76,Hindi,English,20-24,Indian,"(40.60, -122.40)",Female
S217,,,,,,Female
S221,Malayalam,Hindi,25-29,Indian,"(11.8745, 75.3704)",Female
S173,Akan,English,50-59,Ghanaian,"(5.6037, -0.1870)",Male
S115,Hindi,English,20-24,Indian,"(28.7041, 77.1025)",Male
S191,Indonesian,English,30-34,Indonesian,"(51.51, -0.06)",Male
S95,,,,,,
S139,,,,,,
S222,English,Yoruba,25-29,Irish,"(51.48, 0.00)",Female
S26,Arabic,English,30-34,Saudi,"(24.71,46.67)",Female
S209,,,,,,
S194,English,Somali,20-24,Dutch,"(51.58, -0.28)",Male
S109,English,Arabic,20-24,British,"(51.48, -0.16)",Male
S144,,,,,,
S204,,,,,,
S130,,,,,,
S152,Russian,English,20-24,Russian,"(55.75, 37.62)",Male
S86,Chinese,English,20-24,Chinese,"(51.52, -0.04)",Female
S88,English,,20-24,British,"(51.40,-0.14)",Male
S151,Spanish,English,30-34,Chilean,"(-33.44, -70.67)",Male
S89,,,,,,
S36,English,Urdu,20-24,Pakistani,"(51.53, 0.03)",Male
S48,,,,,,
S4,English,,20-24,British,"(51.68, 0.76)",Female
S149,Arabic,English,25-29,Saudi,"(51, -0)",Female
S179,Indonesian,English,35-39,Australian,"(51.51,0.12)",Female
S212,Kannada,English,30-34,Indian,"(13.34, 74.74)",Female
S50,,,,,,
S102,Marathi,Hindi,25-29,Indian,"(51.50, -0.02)",Female
S178,,,,,,
S197,English,,30-34,American,"(39.17, -86.53)",Male
S22,English,,25-29,American,"(37.7749, -122.4194)",Male
S175,,,,,,
S108,,,,,,
S5,Bengali,English,30-34,Indian,"(22.5797, 88.4143)",Female
S96,,,,,,
S172,Chinese,English,20-24,Chinese,"(51.526,-0.056)",Female
S162,,,,,,
S182,Hindi,English,30-34,Indian,"(51.587370, -0.040330)",Female
S201,,,,,,
S68,Greek,English,20-24,Cypriot,"(35.1338, 33.3598)",Male
S143,,,,,,
S83,,,,,,
S215,Dutch,French,35-39,Belgian,"(51.2206,4.4005)",Male
S128,English,,35-39,British,"(51.56,-0.16)",Male
S206,,,,,,
S40,English,,25-29,American,"(38.83, -104.82)",Female
S85,Gujarati,English,20-24,Indian,"(23.02,72.57)",Male
S18,,,,,,
S119,,,,,,
S29,,,,,,
S57,,,,,,
S208,,,,,,
S113,,,,,,
S163,,,,,,
S14,Persian,English,20-24,Iranian,"(35.6,51.3)",Female
S136,,,,,,
S16,,,,,,
S7,Marathi,English,25-29,Indian,"(19.07,72.88)",Female
S141,,,,,,
S30,,,,,,
S56,,,,,,
S42,Persian,English,25-29,Iranian,"(51.58,-0.22)",Female
S156,Hindi,English,20-24,Indian,"(25.665325,78.460938)",Female
S111,,,,,,
S211,,,,,,
S188,,,,,,
S140,Chinese,English,25-29,Chinese,"(34.9, 116.4)",Male
S77,Arabic,French,25-29,Algerian,"(36.92, 7.75)",Male
S99,English,Patois,20-24,Jamaican,"(51.52, -0.04)",Male
