file_id,ID,interpretation,number,song,file_path
S180_whistle_2_star_wars.wav,S180,whistle,2,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S180_whistle_2_star_wars.wav
S43_whistle_2_Rain.wav,S43,whistle,2,Rain,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S43_whistle_2_Rain.wav
S216_hum_3_StarWars.wav,S216,hum,3,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S216_hum_3_StarWars.wav
S5_hum_3_mummamia.wav,S5,hum,3,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S5_hum_3_mummamia.wav
S197_hum_2_Hakuna.wav,S197,hum,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S197_hum_2_Hakuna.wav
S169_hum_4_Showman.wav,S169,hum,4,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S169_hum_4_Showman.wav
S91_hum_2_Mamma.wav,S91,hum,2,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S91_hum_2_Mamma.wav
S126_whistle_1_Panther.wav,S126,whistle,1,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S126_whistle_1_Panther.wav
S99_whistle_2_[Hakuna].wav,S99,whistle,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S99_whistle_2_[Hakuna].wav
S127_hum_4_Showman.wav,S127,hum,4,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S127_hum_4_Showman.wav
S54_hum_2_Potter.wav,S54,hum,2,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S54_hum_2_Potter.wav
S148_whistle_1_Panther.wav,S148,whistle,1,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S148_whistle_1_Panther.wav
S135_hum_2_Potter.wav,S135,hum,2,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S135_hum_2_Potter.wav
S171_hum_2_Hakuna.wav,S171,hum,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S171_hum_2_Hakuna.wav
S10_hum_2_Hakuna.wav,S10,hum,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S10_hum_2_Hakuna.wav
S190_whistle_1_Panther.wav,S190,whistle,1,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S190_whistle_1_Panther.wav
S105_hum_2_singing in the rain.wav,S105,hum,2,Rain,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S105_hum_2_singing in the rain.wav
S126_whistle_2_Hakuna.wav,S126,whistle,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S126_whistle_2_Hakuna.wav
S4_hum_1_Rain.wav,S4,hum,1,Rain,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S4_hum_1_Rain.wav
S23_hum_3_StarWars.wav,S23,hum,3,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S23_hum_3_StarWars.wav
S195_hum_1_Showman.wav,S195,hum,1,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S195_hum_1_Showman.wav
S28_hum_1_Rain.wav,S28,hum,1,Rain,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S28_hum_1_Rain.wav
S134_hum_1_[Showman].wav,S134,hum,1,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S134_hum_1_[Showman].wav
S72_whistle_2_Hakuna.wav,S72,whistle,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S72_whistle_2_Hakuna.wav
S86_hum_4_StarWars.wav,S86,hum,4,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S86_hum_4_StarWars.wav
S178_hum_1_[Snowman].wav,S178,hum,1,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S178_hum_1_[Snowman].wav
S5_hum_4_mummamia.wav,S5,hum,4,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S5_hum_4_mummamia.wav
S36_hum_1_Potter.wav,S36,hum,1,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S36_hum_1_Potter.wav
S157_hum_1_Potter.wav,S157,hum,1,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S157_hum_1_Potter.wav
S209_whistle_2_Hakuna.wav,S209,whistle,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S209_whistle_2_Hakuna.wav
S169_hum_1_Potter.wav,S169,hum,1,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S169_hum_1_Potter.wav
S216_hum_4_StarWars.wav,S216,hum,4,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S216_hum_4_StarWars.wav
S160_whistle_2_Mamma.wav,S160,whistle,2,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S160_whistle_2_Mamma.wav
S91_hum_1_Showman.wav,S91,hum,1,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S91_hum_1_Showman.wav
S130_hum_1_Mamma.wav.wav,S130,hum,1,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S130_hum_1_Mamma.wav.wav
S131_whistle_2_Mamma.wav,S131,whistle,2,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S131_whistle_2_Mamma.wav
S44_hum_2_Frozen.wav,S44,hum,2,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S44_hum_2_Frozen.wav
S88_hum_1_[Frozen].wav,S88,hum,1,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S88_hum_1_[Frozen].wav
S194_hum_1_[STARWARS].wav,S194,hum,1,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S194_hum_1_[STARWARS].wav
S77_whistle_2_Potter.wav,S77,whistle,2,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S77_whistle_2_Potter.wav
S9_hum_2_Panther.wav,S9,hum,2,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S9_hum_2_Panther.wav
S23_hum_4_StarWars.wav,S23,hum,4,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S23_hum_4_StarWars.wav
S7_hum_4_Frozen.wav,S7,hum,4,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S7_hum_4_Frozen.wav
S86_hum_3_StarWars.wav,S86,hum,3,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S86_hum_3_StarWars.wav
S23_hum_4_Showman.wav,S23,hum,4,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S23_hum_4_Showman.wav
S193_whistle_2_Mamma.wav,S193,whistle,2,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S193_whistle_2_Mamma.wav
S6_whisle_1_Frozen.wav,S6,whistle,1,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S6_whisle_1_Frozen.wav
S138_hum_2_Mamma.wav,S138,hum,2,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S138_hum_2_Mamma.wav
S52_whistle_2_Frozen.wav,S52,whistle,2,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S52_whistle_2_Frozen.wav
S17_hum_1_Hakuna.wav,S17,hum,1,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S17_hum_1_Hakuna.wav
S137_hum_4_StarWars.wav,S137,hum,4,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S137_hum_4_StarWars.wav
S67_hum_2_Panther.wav,S67,hum,2,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S67_hum_2_Panther.wav
S53_hum_1_Potter.wav,S53,hum,1,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S53_hum_1_Potter.wav
S131_hum_1_[Potter].wav,S131,hum,1,Potter,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S131_hum_1_[Potter].wav
S178_hum_2_[StarWars] .wav,S178,hum,2,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S178_hum_2_[StarWars] .wav
S191_hum_4_Showman.wav,S191,hum,4,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S191_hum_4_Showman.wav
S3_hum_4_Showman.wav,S3,hum,4,Showman,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S3_hum_4_Showman.wav
S29_hum_2_Panther.wav,S29,hum,2,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S29_hum_2_Panther.wav
S155_hum_4_Panther.wav,S155,hum,4,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S155_hum_4_Panther.wav
S21_hum_2_Frozen.wav,S21,hum,2,Frozen,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S21_hum_2_Frozen.wav
S79_hum_3_[Mamma].wav,S79,hum,3,Mamma,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S79_hum_3_[Mamma].wav
S61_hum_2_[Panther].wav,S61,hum,2,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S61_hum_2_[Panther].wav
S192_hum_3_StarWars.wav,S192,hum,3,StarWars,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S192_hum_3_StarWars.wav
S59_hum_1_Rain.wav,S59,hum,1,Rain,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S59_hum_1_Rain.wav
S167_whistle_2_Hakuna.wav,S167,whistle,2,Hakuna,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S167_whistle_2_Hakuna.wav
S202_hum_4_Panther.wav,S202,hum,4,Panther,/Users/shalinijain/Desktop/Machine-Learning/Songs/Test-Gender/S202_hum_4_Panther.wav
